,date,region,region_orig,deaths,confirmed
2031,121,LIMA,LIMA METROPOLITANA,4279.0,155958.0
2057,122,LIMA,LIMA METROPOLITANA,4325.0,157158.0
2083,123,LIMA,LIMA METROPOLITANA,4405.0,158761.0
2109,124,LIMA,LIMA METROPOLITANA,4473.0,159972.0
2135,125,LIMA,LIMA METROPOLITANA,4555.0,161220.0
2161,126,LIMA,LIMA METROPOLITANA,4655.0,162219.0
2187,127,LIMA,LIMA METROPOLITANA,4726.0,163294.0
2213,128,LIMA,LIMA METROPOLITANA,4804.0,164226.0
2239,129,LIMA,LIMA METROPOLITANA,4885.0,165611.0
2265,130,LIMA,LIMA METROPOLITANA,4958.0,167571.0
2291,131,LIMA,LIMA METROPOLITANA,5037.0,169017.0
2317,132,LIMA,LIMA METROPOLITANA,5130.0,170793.0
2343,133,LIMA,LIMA METROPOLITANA,5213.0,172788.0
2369,134,LIMA,LIMA METROPOLITANA,5206.0,174570.0
2395,135,LIMA,LIMA METROPOLITANA,5396.0,176221.0
2421,136,LIMA,LIMA METROPOLITANA,5497.0,177692.0
2447,137,LIMA,LIMA METROPOLITANA,5594.0,179560.0
2473,138,LIMA,LIMA METROPOLITANA,5688.0,181421.0
2499,139,LIMA,LIMA METROPOLITANA,7605.0,183475.0
2525,140,LIMA,LIMA METROPOLITANA,7687.0,185156.0
2551,143,LIMA,LIMA METROPOLITANA,7922.0,190422.0
2577,144,LIMA,LIMA METROPOLITANA,7983.0,192748.0
2603,145,LIMA,LIMA METROPOLITANA,8061.0,194179.0
2629,146,LIMA,LIMA METROPOLITANA,8134.0,196476.0
2655,148,LIMA,LIMA METROPOLITANA,8274.0,202207.0
2681,149,LIMA,LIMA METROPOLITANA,8357.0,204806.0
2707,150,LIMA,LIMA METROPOLITANA,8443.0,206559.0
2733,151,LIMA,LIMA METROPOLITANA,8516.0,209339.0
2759,152,LIMA,LIMA METROPOLITANA,8598.0,212212.0
2785,153,LIMA,LIMA METROPOLITANA,8679.0,215058.0
2811,154,LIMA,LIMA METROPOLITANA,8786.0,217966.0
2837,155,LIMA,LIMA METROPOLITANA,8854.0,220202.0
2863,156,LIMA,LIMA METROPOLITANA,8967.0,222840.0
2889,157,LIMA,LIMA METROPOLITANA,9040.0,224836.0
2915,158,LIMA,LIMA METROPOLITANA,9138.0,227270.0
2941,159,LIMA,LIMA METROPOLITANA,9216.0,230619.0
2967,160,LIMA,LIMA METROPOLITANA,10281.0,234183.0
2993,161,LIMA,LIMA METROPOLITANA,10340.0,237212.0
3019,162,LIMA,LIMA METROPOLITANA,10428.0,240535.0
3045,163,LIMA,LIMA METROPOLITANA,10494.0,244687.0
3071,164,LIMA,LIMA METROPOLITANA,10581.0,247019.0
3097,165,LIMA,LIMA METROPOLITANA,10656.0,250192.0
3123,166,LIMA,LIMA METROPOLITANA,10698.0,253792.0
3149,167,LIMA,LIMA METROPOLITANA,10760.0,256969.0
3175,168,LIMA,LIMA METROPOLITANA,10858.0,259925.0
3201,169,LIMA,LIMA METROPOLITANA,10933.0,262858.0
3227,170,LIMA,LIMA METROPOLITANA,11034.0,265854.0
3253,171,LIMA,LIMA METROPOLITANA,11103.0,267997.0
3279,172,LIMA,LIMA METROPOLITANA,11194.0,270543.0
3305,173,LIMA,LIMA METROPOLITANA,11245.0,272223.0
3331,174,LIMA,LIMA METROPOLITANA,11315.0,274966.0
3357,175,LIMA,LIMA METROPOLITANA,11395.0,277710.0
3383,176,LIMA,LIMA METROPOLITANA,11456.0,281062.0
3409,177,LIMA,LIMA METROPOLITANA,11544.0,283503.0
3435,178,LIMA,LIMA METROPOLITANA,11612.0,285298.0
3461,179,LIMA,LIMA METROPOLITANA,11681.0,287326.0
3487,181,LIMA,LIMA METROPOLITANA,11859.0,291749.0
3513,182,LIMA,LIMA METROPOLITANA,11921.0,294220.0
3539,183,LIMA,LIMA METROPOLITANA,11989.0,296755.0
3565,184,LIMA,LIMA METROPOLITANA,12054.0,298914.0
3591,185,LIMA,LIMA METROPOLITANA,12107.0,299619.0
3617,186,LIMA,LIMA METROPOLITANA,12173.0,301654.0
3643,187,LIMA,LIMA METROPOLITANA,12231.0,303661.0
3669,188,LIMA,LIMA METROPOLITANA,12279.0,306081.0
3695,189,LIMA,LIMA METROPOLITANA,12341.0,308159.0
3721,190,LIMA,LIMA METROPOLITANA,12396.0,310832.0
3747,191,LIMA,LIMA METROPOLITANA,12443.0,313114.0
3773,192,LIMA,LIMA METROPOLITANA,12500.0,314782.0
3799,193,LIMA,LIMA METROPOLITANA,12544.0,316336.0
3825,194,LIMA,LIMA METROPOLITANA,12601.0,317993.0
3851,195,LIMA,LIMA METROPOLITANA,12633.0,319718.0
3877,196,LIMA,LIMA METROPOLITANA,12703.0,322140.0
3903,197,LIMA,LIMA METROPOLITANA,12733.0,324418.0
3929,198,LIMA,LIMA METROPOLITANA,12733.0,326493.0
3955,200,LIMA,LIMA METROPOLITANA,12733.0,329283.0
3981,201,LIMA,LIMA METROPOLITANA,12965.0,331271.0
4007,202,LIMA,LIMA METROPOLITANA,12996.0,333291.0
4033,203,LIMA,LIMA METROPOLITANA,13035.0,335296.0
4059,204,LIMA,LIMA METROPOLITANA,13087.0,337187.0
4085,205,LIMA,LIMA METROPOLITANA,13143.0,338853.0
4111,206,LIMA,LIMA METROPOLITANA,13168.0,340079.0
4137,207,LIMA,LIMA METROPOLITANA,13193.0,341363.0
4163,208,LIMA,LIMA METROPOLITANA,13224.0,342586.0
4189,209,LIMA,LIMA METROPOLITANA,13256.0,344116.0
4215,210,LIMA,LIMA METROPOLITANA,13289.0,345336.0
4241,212,LIMA,LIMA METROPOLITANA,13350.0,348414.0
4267,213,LIMA,LIMA METROPOLITANA,13393.0,349286.0
4293,214,LIMA,LIMA METROPOLITANA,13424.0,350544.0
4319,215,LIMA,LIMA METROPOLITANA,13468.0,351743.0
4345,216,LIMA,LIMA METROPOLITANA,13505.0,352903.0
4371,217,LIMA,LIMA METROPOLITANA,13524.0,354570.0
4397,218,LIMA,LIMA METROPOLITANA,13554.0,355838.0
4423,219,LIMA,LIMA METROPOLITANA,13591.0,357210.0
4449,220,LIMA,LIMA METROPOLITANA,13614.0,357820.0
4475,221,LIMA,LIMA METROPOLITANA,13644.0,358786.0
4501,222,LIMA,LIMA METROPOLITANA,13683.0,359990.0
4527,223,LIMA,LIMA METROPOLITANA,13699.0,361004.0
4553,224,LIMA,LIMA METROPOLITANA,13726.0,361982.0
4579,225,LIMA,LIMA METROPOLITANA,13754.0,363178.0
4605,226,LIMA,LIMA METROPOLITANA,13769.0,364277.0
4631,227,LIMA,LIMA METROPOLITANA,13801.0,365176.0
4657,228,LIMA,LIMA METROPOLITANA,13827.0,366538.0
4683,229,LIMA,LIMA METROPOLITANA,13850.0,367549.0
4709,230,LIMA,LIMA METROPOLITANA,13867.0,368889.0
4735,231,LIMA,LIMA METROPOLITANA,13890.0,370086.0
4761,232,LIMA,LIMA METROPOLITANA,13911.0,371064.0
4787,233,LIMA,LIMA METROPOLITANA,13923.0,371892.0
4813,234,LIMA,LIMA METROPOLITANA,13942.0,372748.0
4839,235,LIMA,LIMA METROPOLITANA,13966.0,373531.0
4865,236,LIMA,LIMA METROPOLITANA,13987.0,374431.0
4891,237,LIMA,LIMA METROPOLITANA,14006.0,375492.0
4917,238,LIMA,LIMA METROPOLITANA,14026.0,376218.0
4943,239,LIMA,LIMA METROPOLITANA,14052.0,376949.0
5044,243,LIMA,LIMA METROPOLITANA,14124.0,380278.0
5070,244,LIMA,LIMA METROPOLITANA,14151.0,381420.0
5096,245,LIMA,LIMA METROPOLITANA,14166.0,382436.0
5122,246,LIMA,LIMA METROPOLITANA,14166.0,383295.0
5148,247,LIMA,LIMA METROPOLITANA,14200.0,384216.0
5174,248,LIMA,LIMA METROPOLITANA,14232.0,384608.0
5200,249,LIMA,LIMA METROPOLITANA,14258.0,385287.0
5226,250,LIMA,LIMA METROPOLITANA,14274.0,386123.0
5252,251,LIMA,LIMA METROPOLITANA,14290.0,386820.0
5278,252,LIMA,LIMA METROPOLITANA,14305.0,387601.0
5304,253,LIMA,LIMA METROPOLITANA,14332.0,388385.0
5330,254,LIMA,LIMA METROPOLITANA,14355.0,389118.0
5356,255,LIMA,LIMA METROPOLITANA,14373.0,389652.0
5382,256,LIMA,LIMA METROPOLITANA,14390.0,390280.0
5433,258,LIMA,LIMA METROPOLITANA,14431.0,391624.0
5459,259,LIMA,LIMA METROPOLITANA,14447.0,392335.0
5485,260,LIMA,LIMA METROPOLITANA,14479.0,393022.0
5511,261,LIMA,LIMA METROPOLITANA,14499.0,393555.0
5537,262,LIMA,LIMA METROPOLITANA,14517.0,393919.0
5563,263,LIMA,LIMA METROPOLITANA,14532.0,394520.0
5589,264,LIMA,LIMA METROPOLITANA,14546.0,395108.0
5615,265,LIMA,LIMA METROPOLITANA,14570.0,395701.0
5641,266,LIMA,LIMA METROPOLITANA,14586.0,396232.0
5667,267,LIMA,LIMA METROPOLITANA,14596.0,396853.0
5693,268,LIMA,LIMA METROPOLITANA,14616.0,397556.0
5719,269,LIMA,LIMA METROPOLITANA,14637.0,397995.0
5745,270,LIMA,LIMA METROPOLITANA,14662.0,398637.0
5771,271,LIMA,LIMA METROPOLITANA,14685.0,399218.0
5797,272,LIMA,LIMA METROPOLITANA,14693.0,399743.0
5823,273,LIMA,LIMA METROPOLITANA,14721.0,400401.0
5849,274,LIMA,LIMA METROPOLITANA,14732.0,401101.0
5875,275,LIMA,LIMA METROPOLITANA,14745.0,401433.0
5901,276,LIMA,LIMA METROPOLITANA,14762.0,402057.0
5927,277,LIMA,LIMA METROPOLITANA,14791.0,402669.0
5953,278,LIMA,LIMA METROPOLITANA,14819.0,402930.0
5979,279,LIMA,LIMA METROPOLITANA,14834.0,403509.0
6005,280,LIMA,LIMA METROPOLITANA,14850.0,404100.0
6031,281,LIMA,LIMA METROPOLITANA,14872.0,404741.0
6057,282,LIMA,LIMA METROPOLITANA,14899.0,405529.0
6083,283,LIMA,LIMA METROPOLITANA,14926.0,406021.0
6109,284,LIMA,LIMA METROPOLITANA,14953.0,406514.0
6135,285,LIMA,LIMA METROPOLITANA,14969.0,407078.0
6161,286,LIMA,LIMA METROPOLITANA,14985.0,407728.0
6187,287,LIMA,LIMA METROPOLITANA,15005.0,408545.0
6213,288,LIMA,LIMA METROPOLITANA,15032.0,409316.0
6239,289,LIMA,LIMA METROPOLITANA,15055.0,409862.0
6265,290,LIMA,LIMA METROPOLITANA,15084.0,410262.0
6291,291,LIMA,LIMA METROPOLITANA,15099.0,410902.0
6317,292,LIMA,LIMA METROPOLITANA,15112.0,411729.0
6343,293,LIMA,LIMA METROPOLITANA,15123.0,412315.0
6369,294,LIMA,LIMA METROPOLITANA,15140.0,412923.0
6395,295,LIMA,LIMA METROPOLITANA,15159.0,413270.0
6421,296,LIMA,LIMA METROPOLITANA,15173.0,413913.0
6447,297,LIMA,LIMA METROPOLITANA,15191.0,414510.0
6473,298,LIMA,LIMA METROPOLITANA,15205.0,415069.0
6499,299,LIMA,LIMA METROPOLITANA,15219.0,415681.0
6525,300,LIMA,LIMA METROPOLITANA,15235.0,416795.0
6551,301,LIMA,LIMA METROPOLITANA,15245.0,417526.0
6577,302,LIMA,LIMA METROPOLITANA,15264.0,418035.0
6603,303,LIMA,LIMA METROPOLITANA,15286.0,418768.0
6629,304,LIMA,LIMA METROPOLITANA,15301.0,419823.0
6655,305,LIMA,LIMA METROPOLITANA,15320.0,420238.0
6681,306,LIMA,LIMA METROPOLITANA,15345.0,421151.0
6707,307,LIMA,LIMA METROPOLITANA,15369.0,422037.0
6733,308,LIMA,LIMA METROPOLITANA,15397.0,423229.0
6759,309,LIMA,LIMA METROPOLITANA,15419.0,424706.0
6785,310,LIMA,LIMA METROPOLITANA,15445.0,426143.0
6811,311,LIMA,LIMA METROPOLITANA,15468.0,427267.0
6837,312,LIMA,LIMA METROPOLITANA,15491.0,428831.0
6863,313,LIMA,LIMA METROPOLITANA,15508.0,430412.0
6889,314,LIMA,LIMA METROPOLITANA,15536.0,432498.0
6915,315,LIMA,LIMA METROPOLITANA,15555.0,435698.0
6941,316,LIMA,LIMA METROPOLITANA,15580.0,437490.0
6967,317,LIMA,LIMA METROPOLITANA,15608.0,439280.0
6993,318,LIMA,LIMA METROPOLITANA,15626.0,441225.0
7019,319,LIMA,LIMA METROPOLITANA,15663.0,443592.0
7045,320,LIMA,LIMA METROPOLITANA,15691.0,446272.0
7071,321,LIMA,LIMA METROPOLITANA,15720.0,448135.0
7097,322,LIMA,LIMA METROPOLITANA,15769.0,450502.0
7123,323,LIMA,LIMA METROPOLITANA,15827.0,453428.0
7149,324,LIMA,LIMA METROPOLITANA,15903.0,456050.0
7175,325,LIMA,LIMA METROPOLITANA,15950.0,458177.0
7201,326,LIMA,LIMA METROPOLITANA,16018.0,460414.0
7227,327,LIMA,LIMA METROPOLITANA,16077.0,463346.0
7253,328,LIMA,LIMA METROPOLITANA,16140.0,465765.0
7279,329,LIMA,LIMA METROPOLITANA,16202.0,468532.0
7305,330,LIMA,LIMA METROPOLITANA,16263.0,472117.0
7331,331,LIMA,LIMA METROPOLITANA,16327.0,474199.0
7357,332,LIMA,LIMA METROPOLITANA,16383.0,476746.0
7383,333,LIMA,LIMA METROPOLITANA,16457.0,480438.0
7409,334,LIMA,LIMA METROPOLITANA,16520.0,484709.0
7435,335,LIMA,LIMA METROPOLITANA,16607.0,487705.0
7461,336,LIMA,LIMA METROPOLITANA,16674.0,491790.0
7487,337,LIMA,LIMA METROPOLITANA,16737.0,496011.0
7513,338,LIMA,LIMA METROPOLITANA,16799.0,499225.0
7539,339,LIMA,LIMA METROPOLITANA,16862.0,501751.0
7565,340,LIMA,LIMA METROPOLITANA,16930.0,504479.0
7591,341,LIMA,LIMA METROPOLITANA,17017.0,507604.0
7617,342,LIMA,LIMA METROPOLITANA,17073.0,511764.0
7643,343,LIMA,LIMA METROPOLITANA,17143.0,515920.0
7669,344,LIMA,LIMA METROPOLITANA,17241.0,519227.0
7695,345,LIMA,LIMA METROPOLITANA,17334.0,523193.0
7721,346,LIMA,LIMA METROPOLITANA,17408.0,525110.0
7747,347,LIMA,LIMA METROPOLITANA,17473.0,528263.0
7773,348,LIMA,LIMA METROPOLITANA,17562.0,532543.0
7799,349,LIMA,LIMA METROPOLITANA,17510.0,537606.0
7825,350,LIMA,LIMA METROPOLITANA,17580.0,541713.0
7851,351,LIMA,LIMA METROPOLITANA,17648.0,545115.0
7877,352,LIMA,LIMA METROPOLITANA,17735.0,548627.0
7903,353,LIMA,LIMA METROPOLITANA,17806.0,550482.0
7929,354,LIMA,LIMA METROPOLITANA,17891.0,554113.0
7955,355,LIMA,LIMA METROPOLITANA,17989.0,557381.0
7981,356,LIMA,LIMA METROPOLITANA,18065.0,561000.0
8007,357,LIMA,LIMA METROPOLITANA,18130.0,564745.0
8033,358,LIMA,LIMA METROPOLITANA,18208.0,568554.0
8059,359,LIMA,LIMA METROPOLITANA,18286.0,571569.0
8085,360,LIMA,LIMA METROPOLITANA,18356.0,573248.0
8111,361,LIMA,LIMA METROPOLITANA,18429.0,575835.0
8137,362,LIMA,LIMA METROPOLITANA,18517.0,579106.0
8163,363,LIMA,LIMA METROPOLITANA,18594.0,581432.0
8189,364,LIMA,LIMA METROPOLITANA,18676.0,585672.0
8215,365,LIMA,LIMA METROPOLITANA,18757.0,588923.0
8241,366,LIMA,LIMA METROPOLITANA,18828.0,591953.0
8267,367,LIMA,LIMA METROPOLITANA,18882.0,593741.0
8293,368,LIMA,LIMA METROPOLITANA,18975.0,596422.0
8319,369,LIMA,LIMA METROPOLITANA,19042.0,599788.0
8345,370,LIMA,LIMA METROPOLITANA,19110.0,603030.0
8371,371,LIMA,LIMA METROPOLITANA,19188.0,607364.0
8397,372,LIMA,LIMA METROPOLITANA,19381.0,609950.0
8423,373,LIMA,LIMA METROPOLITANA,19416.0,611839.0
8449,374,LIMA,LIMA METROPOLITANA,19503.0,615931.0
8475,375,LIMA,LIMA METROPOLITANA,19557.0,620383.0
8501,376,LIMA,LIMA METROPOLITANA,19648.0,624200.0
8527,377,LIMA,LIMA METROPOLITANA,19732.0,628022.0
8553,378,LIMA,LIMA METROPOLITANA,19808.0,631536.0
8579,379,LIMA,LIMA METROPOLITANA,19871.0,635883.0
8605,380,LIMA,LIMA METROPOLITANA,19912.0,638145.0
8631,381,LIMA,LIMA METROPOLITANA,19981.0,641601.0
8657,382,LIMA,LIMA METROPOLITANA,20019.0,645563.0
8683,383,LIMA,LIMA METROPOLITANA,20102.0,651096.0
8709,384,LIMA,LIMA METROPOLITANA,20167.0,654562.0
8735,385,LIMA,LIMA METROPOLITANA,20230.0,660204.0
8761,386,LIMA,LIMA METROPOLITANA,20317.0,664004.0
8787,387,LIMA,LIMA METROPOLITANA,20406.0,667632.0
8813,388,LIMA,LIMA METROPOLITANA,20471.0,668925.0
8839,389,LIMA,LIMA METROPOLITANA,20544.0,671414.0
8865,390,LIMA,LIMA METROPOLITANA,20625.0,674868.0
8891,391,LIMA,LIMA METROPOLITANA,20682.0,680330.0
8917,392,LIMA,LIMA METROPOLITANA,20745.0,682756.0
8943,393,LIMA,LIMA METROPOLITANA,20875.0,684385.0
8969,394,LIMA,LIMA METROPOLITANA,20973.0,686554.0
8995,395,LIMA,LIMA METROPOLITANA,21089.0,689177.0
9021,396,LIMA,LIMA METROPOLITANA,21207.0,691586.0
9047,397,LIMA,LIMA METROPOLITANA,21341.0,694915.0
9073,398,LIMA,LIMA METROPOLITANA,21451.0,699037.0
9099,399,LIMA,LIMA METROPOLITANA,21576.0,703154.0
9125,400,LIMA,LIMA METROPOLITANA,21724.0,708093.0
9151,401,LIMA,LIMA METROPOLITANA,21811.0,711139.0
9177,402,LIMA,LIMA METROPOLITANA,21949.0,713576.0
9203,403,LIMA,LIMA METROPOLITANA,22051.0,715919.0
9229,404,LIMA,LIMA METROPOLITANA,22159.0,718688.0
9255,405,LIMA,LIMA METROPOLITANA,22276.0,724124.0
9281,406,LIMA,LIMA METROPOLITANA,22400.0,726712.0
9307,407,LIMA,LIMA METROPOLITANA,22521.0,729767.0
9333,408,LIMA,LIMA METROPOLITANA,22683.0,732173.0
9359,409,LIMA,LIMA METROPOLITANA,22803.0,732960.0
9385,410,LIMA,LIMA METROPOLITANA,22958.0,738827.0
9411,411,LIMA,LIMA METROPOLITANA,23086.0,741719.0
9437,412,LIMA,LIMA METROPOLITANA,23216.0,744073.0
9463,413,LIMA,LIMA METROPOLITANA,23353.0,748548.0
9489,414,LIMA,LIMA METROPOLITANA,23507.0,751277.0
9515,415,LIMA,LIMA METROPOLITANA,23602.0,753747.0
9541,416,LIMA,LIMA METROPOLITANA,23715.0,756715.0
9567,417,LIMA,LIMA METROPOLITANA,23862.0,758957.0
9593,418,LIMA,LIMA METROPOLITANA,23972.0,761675.0
9619,419,LIMA,LIMA METROPOLITANA,24094.0,765252.0
9645,420,LIMA,LIMA METROPOLITANA,24224.0,767629.0
9671,421,LIMA,LIMA METROPOLITANA,24326.0,769602.0
9697,422,LIMA,LIMA METROPOLITANA,24415.0,771475.0
9723,423,LIMA,LIMA METROPOLITANA,24508.0,773058.0
9749,424,LIMA,LIMA METROPOLITANA,24601.0,774553.0
9775,425,LIMA,LIMA METROPOLITANA,24811.0,776278.0
